word,value
detracting,-4
detraction,-4
detracts,-4
detriment,-4
detrimental,-4
devastate,-4
devastated,-4
devastates,-4
devastating,-4
devastatingly,-4
devastation,-4
deviate,-4
deviation,-4
devil,-4
devilish,-4
devilishly,-4
devilment,-4
devilry,-4
devious,-4
deviously,-4
deviousness,-4
devoid,-4
diabolic,-4
diabolical,-4
diabolically,-4
diametrically,-4
diappointed,-4
diatribe,-4
diatribes,-4
dick,-4
dictator,-4
dictatorial,-4
die,-4
die-hard,-4
died,-4
dies,-4
difficult,-4
difficulties,-4
difficulty,-4
diffidence,-4
dilapidated,-4
dilemma,-4
dilly-dally,-4
dim,-4
dimmer,-4
din,-4
ding,-4
dings,-4
dinky,-4
dire,-4
direly,-4
direness,-4
dirt,-4
dirtbag,-4
dirtbags,-4
dirts,-4
dirty,-4
disable,-4
disabled,-4
disaccord,-4
disadvantage,-4
disadvantaged,-4
disadvantageous,-4
disadvantages,-4
disaffect,-4
disaffected,-4
disaffirm,-4
disagree,-4
disagreeable,-4
disagreeably,-4
disagreed,-4
disagreeing,-4
disagreement,-4
disagrees,-4
disallow,-4
disapointed,-4
disapointing,-4
disapointment,-4
disappoint,-4
disappointed,-4
disappointing,-4
disappointingly,-4
disappointment,-4
disappointments,-4
disappoints,-4
disapprobation,-4
disapproval,-4
disapprove,-4
disapproving,-4
disarm,-4
disarray,-4
disaster,-4
disasterous,-4
disastrous,-4
disastrously,-4
disavow,-4
disavowal,-4
disbelief,-4
disbelieve,-4
disbeliever,-4
disclaim,-4
discombobulate,-4
discomfit,-4
discomfititure,-4
discomfort,-4
discompose,-4
disconcert,-4
disconcerted,-4
disconcerting,-4
disconcertingly,-4
disconsolate,-4
disconsolately,-4
disconsolation,-4
discontent,-4
discontented,-4
discontentedly,-4
discontinued,-4
discontinuity,-4
discontinuous,-4
discord,-4
discordance,-4
discordant,-4
discountenance,-4
discourage,-4
discouragement,-4
discouraging,-4
discouragingly,-4
discourteous,-4
discourteously,-4
discoutinous,-4
discredit,-4
discrepant,-4
discriminate,-4
discrimination,-4
discriminatory,-4
disdain,-4
disdained,-4
disdainful,-4
disdainfully,-4
disfavor,-4
disgrace,-4
disgraced,-4
disgraceful,-4
disgracefully,-4
disgruntle,-4
disgruntled,-4
disgust,-4
disgusted,-4
disgustedly,-4
disgustful,-4
disgustfully,-4
disgusting,-4
disgustingly,-4
dishearten,-4
disheartening,-4
dishearteningly,-4
dishonest,-4
dishonestly,-4
dishonesty,-4
dishonor,-4
dishonorable,-4
dishonorablely,-4
disillusion,-4
disillusioned,-4
disillusionment,-4
disillusions,-4
disinclination,-4
disinclined,-4
disingenuous,-4
disingenuously,-4
disintegrate,-4
disintegrated,-4
disintegrates,-4
disintegration,-4
disinterest,-4
disinterested,-4
dislike,-4
disliked,-4
dislikes,-4
disliking,-4
dislocated,-4
disloyal,-4
disloyalty,-4
dismal,-4
dismally,-4
dismalness,-4
dismay,-4
dismayed,-4
dismaying,-4
dismayingly,-4
dismissive,-4
dismissively,-4
disobedience,-4
disobedient,-4
disobey,-4
disoobedient,-4
disorder,-4
disordered,-4
disorderly,-4
disorganized,-4
disorient,-4
disoriented,-4
disown,-4
disparage,-4
disparaging,-4
disparagingly,-4
dispensable,-4
dispirit,-4
dispirited,-4
dispiritedly,-4
dispiriting,-4
displace,-4
displaced,-4
displease,-4
displeased,-4
displeasing,-4
displeasure,-5
disproportionate,-5
disprove,-5
disputable,-5
dispute,-5
disputed,-5
disquiet,-5
disquieting,-5
disquietingly,-5
disquietude,-5
disregard,-5
disregardful,-5
disreputable,-5
disrepute,-5
disrespect,-5
disrespectable,-5
disrespectablity,-5
disrespectful,-5
disrespectfully,-5
disrespectfulness,-5
disrespecting,-5
disrupt,-5
disruption,-5
disruptive,-5
diss,-5
dissapointed,-5
dissappointed,-5
dissappointing,-5
dissatisfaction,-5
dissatisfactory,-5
dissatisfied,-5
dissatisfies,-5
dissatisfy,-5
dissatisfying,-5
dissed,-5
dissemble,-5
dissembler,-5
dissension,-5
dissent,-5
dissenter,-5
dissention,-5
disservice,-5
disses,-5
dissidence,-5
dissident,-5
dissidents,-5
dissing,-5
dissocial,-5
dissolute,-5
dissolution,-5
dissonance,-5
dissonant,-5
dissonantly,-5
dissuade,-5
dissuasive,-5
distains,-5
distaste,-5
distasteful,-5
distastefully,-5
distort,-5
distorted,-5
distortion,-5
distorts,-5
distract,-5
distracting,-5
distraction,-5
distraught,-5
distraughtly,-5
distraughtness,-5
distress,-5
distressed,-5
distressing,-5
distressingly,-5
distrust,-5
distrustful,-5
distrusting,-5
disturb,-5
disturbance,-5
disturbed,-5
disturbing,-5
disturbingly,-5
disunity,-5
disvalue,-5
divergent,-5
divisive,-5
divisively,-5
divisiveness,-5
dizzing,-5
dizzingly,-5
dizzy,-5
doddering,-5
dodgey,-5
dogged,-5
doggedly,-5
dogmatic,-5
doldrums,-5
domineer,-5
domineering,-5
donside,-5
doom,-5
doomed,-5
doomsday,-5
dope,-5
doubt,-5
doubtful,-5
doubtfully,-5
doubts,-5
douchbag,-5
douchebag,-5
douchebags,-5
downbeat,-5
downcast,-5
downer,-5
downfall,-5
downfallen,-5
downgrade,-5
downhearted,-5
downheartedly,-5
downhill,-5
downside,-5
downsides,-5
downturn,-5
downturns,-5
drab,-5
draconian,-5
draconic,-5
drag,-5
dragged,-5
dragging,-5
dragoon,-5
drags,-5
drain,-5
drained,-5
draining,-5
drains,-5
drastic,-5
drastically,-5
drawback,-5
drawbacks,-5
dread,-5
dreadful,-5
dreadfully,-5
dreadfulness,-5
dreary,-5
dripped,-5
dripping,-5
drippy,-5
drips,-5
drones,-5
droop,-5
droops,-5
drop-out,-5
drop-outs,-5
dropout,-5
dropouts,-5
drought,-5
drowning,-5
drunk,-5
drunkard,-5
drunken,-5
dubious,-5
dubiously,-5
dubitable,-5
dud,-5
dull,-5
dullard,-5
dumb,-5
dumbfound,-5
dump,-5
dumped,-5
dumping,-5
dumps,-5
dunce,-5
dungeon,-5
dungeons,-5
dupe,-5
dust,-5
dusty,-5
dwindling,-5
dying,-5
earsplitting,-5
eccentric,-5
eccentricity,-5
effigy,-5
effrontery,-5
egocentric,-5
egomania,-5
egotism,-5
egotistical,-5
egotistically,-5
egregious,-5
egregiously,-5
election-rigger,-5
elimination,-5
emaciated,-5
emasculate,-5
embarrass,-5
embarrassing,-5
embarrassingly,-5
embarrassment,-5
embattled,-5
embroil,-5
embroiled,-5
embroilment,-5
emergency,-5
emphatic,-5
emphatically,-5
emptiness,-5
encroach,-5
encroachment,-5
endanger,-5
enemies,-5
enemy,-5
enervate,-5
enfeeble,-5
enflame,-5
engulf,-5
enjoin,-5
enmity,-5
enrage,-5
enraged,-5
enraging,-5
enslave,-5
entangle,-5
entanglement,-5
entrap,-5
entrapment,-5
envious,-5
enviously,-5
enviousness,-5
epidemic,-5
equivocal,-5
erase,-5
erode,-5
erodes,-5
erosion,-5
err,-5
errant,-5
erratic,-5
erratically,-5
erroneous,-5
erroneously,-5
error,-5
errors,-5
eruptions,-5
escapade,-5
eschew,-5
estranged,-5
evade,-5
evasion,-5
evasive,-5
evil,-5
evildoer,-5
evils,-5
eviscerate,-5
exacerbate,-5
exagerate,-5
exagerated,-5
exagerates,-5
exaggerate,-5
exaggeration,-5
exasperate,-5
exasperated,-5
exasperating,-5
exasperatingly,-5
exasperation,-5
excessive,-5
excessively,-5
exclusion,-5
excoriate,-5
excruciating,-5
excruciatingly,-5
excuse,-5
excuses,-5
execrate,-5
exhaust,-5
exhausted,-5
exhaustion,-5
exhausts,-5
exhorbitant,-5
exhort,-5
exile,-5
exorbitant,-5
exorbitantance,-5
exorbitantly,-5
expel,-5
expensive,-5
expire,-5
expired,-5
explode,-5
exploit,-5
exploitation,-5
explosive,-5
expropriate,-5
expropriation,-5
expulse,-5
expunge,-5
exterminate,-5
extermination,-5
extinguish,-5
extort,-5
extortion,-5
extraneous,-5
extravagance,-5
extravagant,-5
extravagantly,-5
extremism,-5
extremist,-5
extremists,-5
eyesore,-5
f**k,-5
fabricate,-5
fabrication,-5
facetious,-5
facetiously,-5
fail,-5
failed,-5
failing,-5
fails,-5
failure,-5
failures,-5
faint,-5
fainthearted,-5
faithless,-5
fake,-5
fall,-5
fallacies,-5
fallacious,-5
fallaciously,-5
fallaciousness,-5
fallacy,-5
fallen,-5
falling,-5
fallout,-5
falls,-5
FALSE,-5
falsehood,-5
falsely,-5
falsify,-5
falter,-5
faltered,-5
famine,-5
famished,-5
fanatic,-5
fanatical,-5
fanatically,-5
fanaticism,-5
fanatics,-5
fanciful,-5
far-fetched,-5
farce,-5
farcical,-5
farcical-yet-provocative,-5
farcically,-5
farfetched,-5
fascism,-5
fascist,-5
fastidious,-5
fastidiously,-5
fastuous,-5
fat,-5
fat-cat,-5
fat-cats,-5
fatal,-5
fatalistic,-5
fatalistically,-5
fatally,-5
fatcat,-5
fatcats,-5
fateful,-5
fatefully,-5
fathomless,-5
fatigue,-5
fatigued,-5
fatique,-5
fatty,-5
fatuity,-5
fatuous,-5
fatuously,-5
fault,-5
faults,-5
faulty,-5
fawningly,-5
faze,-5
fear,-5
fearful,-5
fearfully,-5
fears,-5
fearsome,-5
feckless,-5
feeble,-5
feeblely,-5
feebleminded,-5
feign,-5
feint,-5
fell,-5
felon,-5
felonious,-5
ferociously,-5
ferocity,-5
fetid,-5
fever,-5
feverish,-5
fevers,-5
fiasco,-5
fib,-5
fibber,-5
fickle,-5
fiction,-5
fictional,-5
